name,space,x0,x1,x2,x3,x4,x5,x6
home,joint,0.000365,-1.94446,0.005154,3.07316,0.038112,-0.01676,-0.31439
ready,joint,-0.00566,0.931927,-0.04693,2.153539,0.05195,-0.00482,-0.2996
deliver,joint,-2.5448,1.108403,-0.07156,1.970398,0.042619,-0.01336,-0.31337
deliver_up,joint,-2.5448,0.991305,-0.0706,2.032865,0.031549,-0.00229,-0.31306
seat,joint,-0.35431,1.244751,-0.09738,2.10769,-0.19348,-0.22179,-0.27802
rail1,joint,-0.23747,1.250914,-0.05792,2.20629,-0.25223,-0.35914,-0.27535
rail2,joint,-0.11906,1.252597,-0.06057,2.217454,-0.12817,-0.33186,-0.27628
rail3,joint,-0.02337,1.254878,-0.06321,2.237226,-0.11947,-0.34103,-0.27638
rail4,joint,0.063697,1.25333,-0.03918,2.232368,-0.0899,-0.33802,-0.27638
rail5,joint,0.155955,1.253547,-0.0327,2.21754,-0.08666,-0.3351,-0.27617
rail6,joint,0.261325,1.249448,-0.04059,2.187116,0.058987,-0.31027,-0.277
left_stile,joint,0.325715,1.242443,0.004196,2.027156,0.439003,-0.12034,-0.27648
sticky_notes,joint,-0.29182,1.292236,-0.0987,1.520601,0.339927,0.305926,-0.27926
marker,joint,-0.16654,1.257104,-0.07599,1.623548,0.282838,0.251051,-0.27905
spatula,joint,-0.07585,1.266281,-0.08794,1.638718,0.253107,0.21626,-0.277
scissors,joint,0.016983,1.278553,-0.06714,1.65329,0.207008,0.174115,-0.2773
tweezers,joint,0.083638,1.280779,-0.03092,1.609061,0.179887,0.147151,-0.27761
tape,joint,0.146568,1.253384,-0.02002,1.599686,0.240614,0.207562,-0.29395
right_stile,joint,0.307928,1.317051,-0.14842,1.467338,0.38057,0.322057,-0.29117
thumbtack1,joint,-0.25288,1.428638,-0.01724,0.984816,0.061438,0.626481,-0.29426
thumbtack2,joint,-0.1947,1.411344,-0.01436,1.047709,0.042619,0.608295,-0.27237
thumbtack3,joint,-0.14112,1.399941,0.010993,1.08853,-0.00608,0.56275,-0.27309
thumbtack4,joint,-0.08261,1.395434,0.026501,1.108642,-0.01273,0.555475,-0.26035
thumbtack5,joint,-0.0279,1.388891,0.030469,1.139833,-0.04649,0.522344,-0.2695
thumbtack6,joint,0.022462,1.392855,0.038223,1.125857,-0.04625,0.522423,-0.26066
thumbtack7,joint,0.06797,1.39576,0.051496,1.117761,-0.04625,0.522265,-0.26117
thumbtack8,joint,0.117532,1.401108,0.056468,1.098245,-0.04609,0.522581,-0.27176
